"","hgnc_symbol","uniprot_gn_id"
"7215","LILRB4","C9JST2"
"7216","LILRB4","A0A0G2JPX5"
"7217","LILRB4","A0A0G2JNE9"
"7218","LILRB4","A0A0G2JM38"
"7219","LILRB4","A0A0G2JM57"
"7220","LILRB4","A0A0G2JQ20"
"7221","LILRB4","A0A0G2JPI0"
"7222","LILRB4","A0A087X0F8"
"7223","TTC3-AS1",""
"7224","ZNF770","Q6IQ21"
"7225","ZNF770","H0YM59"
"7226","GPX1P1",""
"7227","GANAB","Q14697"
"7228","GANAB","F5H6X6"
"7229","GANAB","E9PQ69"
"7230","GANAB","V9HWJ0"
"7231","GANAB","E9PKU7"
"7232","GANAB","E9PNH1"
"7233","GPR158","Q5T848"
"7234","GPR158","A0A3B3IUC3"
"7235","HULC",""
"7236","TRIM31","Q9BZY9"
"7237","TRIM31","Q2L6J1"
"7238","TRIM31","A0A0G2JJX2"
"7239","TRIM31","A0A140T9J6"
"7240","RBCK1","Q9BYM8"
"7241","RBCK1","G3XAG9"
"7242","RBCK1","A6PVK0"
"7243","RBCK1","B4DML5"
"7244","RBCK1","A6PVJ6"
"7245","RBCK1","Q5JWR1"
"7246","RBCK1","A6PVJ7"
"7247","RBCK1","A6PVJ5"
"7248","GABRG3","Q99928"
"7249","GABRG3","A0A0A0MR73"
"7250","GABRG3","H0YJP1"
"7251","LINC01516",""
"7252","TTC3","P53804"
"7253","TTC3","B4DSZ9"
"7254","TTC3","E9PMS7"
"7255","TTC3","E9PMP8"
"7256","TTC3","E9PCE7"
"7257","TTC3","A8MT23"
"7258","DNMT3B","Q9UBC3"
"7259","TRIM31-AS1",""
"7260","THNSL1","Q8IYQ7"
"7261","ACADSB","P45954"
"7262","ACADSB","A0A0S2Z3P9"
"7263","GNG5P1",""
"7264","TAF1B","Q53T94"
"7265","TAF1B","F8WDU0"
"7266","TAF1B","F8WE32"
"7267","LINC00686",""
"7268","PRTFDC1","Q9NRG1"
"7269","DICER1","Q9UPY3"
"7270","DICER1","Q5D0K5"
"7271","ZFAND4","Q86XD8"
"7272","ZFAND4","A0A024R7V9"
"7273","ZFAND4","Q5VVY4"
"7274","ZFAND4","J3KPC0"
"7275","ZFAND4","F2Z2H4"
"7276","ZFAND4","A0A087WT56"
"7277","NTSR1","P30989"
"7278","PXK","Q7Z7A4"
"7279","PXK","W5RWE6"
"7280","PXK","U3KQS4"
"7281","PXK","A0A0C4DG95"
"7282","PXK","E9PD56"
"7283","PXK","H7C529"
"7284","PXK","H7BYG4"
"7285","PXK","C9IYJ2"
"7286","PXK","F8WAW8"
"7287","PXK","F8WDF7"
"7288","SERPINE4P",""
"7289","TRBV30","A0A0K0K1B3"
"7290","GABRG3-AS1",""
"7291","FGF18","O76093"
"7292","LINC02022",""
"7293","ZNF560","Q96MR9"
"7294","TIMM8BP1",""
"7295","ANKRA2","Q9H9E1"
"7296","ANKRA2","A0A024RAN7"
"7297","ANKRA2","D6RBK8"
"7298","CDC42SE2","Q9NRR3"
"7299","CDC42SE2","H0Y9W5"
"7300","CDC42SE2","D6REL0"
"7301","ZDHHC8P1",""
"7302","ZNF532","Q9HCE3"
"7303","ZNF532","A0A024R283"
"7304","ZNF532","K7EJM2"
"7305","ZNF532","K7EL14"
"7306","ZNF532","K7EIU3"
"7307","ZNF532","K7EQW7"
"7308","ZNF532","K7EKV7"
"7309","ZNF532","K7EMF9"
"7310","ZNF532","K7EP49"
"7311","ZNF532","K7ES47"
"7312","ZNF532","K7EN67"
"7313","ZNF532","K7ER18"
"7314","ZNF532","K7EPI7"
"7315","ZNF532","K7ELB7"
"7316","FLOT1","O75955"
"7317","FLOT1","A2AB10"
"7318","FLOT1","A0A0G2JJQ6"
"7319","FLOT1","A2AB12"
"7320","FLOT1","A2ABJ5"
"7321","FLOT1","A2AB11"
"7322","FLOT1","A2AB09"
"7323","FLOT1","A2AB13"
"7324","FLOT1","Q5ST80"
"7325","FLOT1","A0A140T9L9"
"7326","FLOT1","A0A140T9R1"
"7327","FLOT1","A0A140T9X0"
"7328","FLOT1","A0A140T9B1"
"7329","FLOT1","A0A140T957"
"7330","FLOT1","A0A140T910"
"7331","FLOT1","A0A140T905"
"7332","FLOT1","A0A140T9C3"
"7333","FLOT1","A0A140T959"
"7334","FLOT1","A0A140T907"
"7335","FLOT1","A0A140T9W4"
"7336","RILP","Q96NA2"
"7337","RILP","I3L1U0"
"7338","RILP","A0A0J9YWQ1"
"7339","SLC6A18","Q96N87"
"7340","MTCO1P28",""
"7341","ZNF426","Q9BUY5"
"7342","ZNF426","A0A024R7D7"
"7343","ZNF426","K7EME3"
"7344","ZNF426","K7ER43"
"7345","ZNF426","A0A1B0GUG0"
"7346","NAA60","Q9H7X0"
"7347","NAA60","I3L153"
"7348","NAA60","I3L2B4"
"7349","NAA60","I3L4Q5"
"7350","NAA60","I3L1T4"
"7351","NAA60","I3L1X5"
"7352","NAA60","I3L1B9"
"7353","NAA60","I3L205"
"7354","NAA60","I3L2M6"
"7355","NAA60","I3L4Q3"
"7356","NAA60","I3L4T5"
"7357","NAA60","I3L2K7"
"7358","AK3P2",""
"7359","C8orf31",""
"7360","ZNF655","Q8N720"
"7361","ZNF655","C9J0V9"
"7362","ZNF655","F8WEB1"
"7363","ZNF655","F8WE52"
"7364","ZNF655","C9JUB9"
"7365","ZNF655","C9JS03"
"7366","ZNF655","C9JNK1"
"7367","ZNF655","F8WDU5"
"7368","ZNF655","C9IYG2"
"7369","ZNF655","F8WCS2"
"7370","ZNF655","C9J9R2"
"7371","GABRB2","P47870"
"7372","GABRB2","B7Z279"
"7373","GABRB2","E7EV50"
"7374","PRKCZ","Q05513"
"7375","PRKCZ","D6RG01"
"7376","PRKCZ","D6RAN5"
"7377","PRKCZ","D6RGG1"
"7378","PRKCZ","D6RBD4"
"7379","PRKCZ","D6RDM0"
"7380","PRKCZ","F2Z3C5"
"7381","PRKCZ","D6RC84"
"7382","PRKCZ","F2Z2H9"
"7383","PRKCZ","J3KRP7"
"7384","PRKCZ","D6RAU1"
"7385","PRKCZ","E9PBE1"
"7386","PRKCZ","D6RD31"
"7387","PRKCZ","D6RCN4"
"7388","PRKCZ","D6RJG4"
"7389","PRKCZ","D6REZ8"
"7390","MZT1P2",""
"7391","ARL5B","Q96KC2"
"7392","ARL5B","B0YIW9"
"7393","SIX2","Q9NPC8"
"7394","SMIM23","A6NLE4"
"7395","SMIM23","H0YC34"
"7396","SMIM23","A0A1X7SBS2"
"7397","TUBGCP5","Q96RT8"
"7398","TUBGCP5","A0A0G2JR45"
"7399","TUBGCP5","A0A0G2JPW5"
"7400","TUBGCP5","A0A0G2JSA7"
"7401","TUBGCP5","A0A0G2JQX1"
"7402","TUBGCP5","A0A087X1Z1"
"7403","TUBGCP5","A0A0G2JRG1"
"7404","GPNMB","Q14956"
"7405","GPNMB","Q96F58"
"7406","GPNMB","A0A024RA55"
"7407","GPNMB","A0A3B3ISS6"
"7408","LINC01046",""
"7409","PRMT1P1",""
"7410","NSD1","Q96L73"
"7411","NSD1","A0A1W2PS55"
"7412","NSD1","H7BYB0"
"7413","NSD1","D6RG26"
"7414","NSD1","D6RA58"
"7415","NSD1","D6RBP3"
"7416","NSD1","D6RBV9"
"7417","NSD1","D6RA90"
"7418","NSD1","D6RE14"
"7419","AIFM1P1",""
"7420","CCT6P1",""
"7421","INTS9","Q9NV88"
"7422","INTS9","G3XAN1"
"7423","INTS9","E5RK47"
"7424","INTS9","E5RG70"
"7425","INTS9","H0YBQ3"
"7426","INTS9","E5RGY2"
"7427","INTS9","E5RJ88"
"7428","CD209","Q9NNX6"
"7429","CD209","M0R0P0"
"7430","CD209","M0QZG5"
"7431","CD209","X6RB12"
"7432","ARRDC3-AS1",""
"7433","MEIOB","Q8N635"
"7434","MEIOB","H3BU10"
"7435","MEIOB","H3BU18"
"7436","MEIOB","H3BSU6"
"7437","LINC00254",""
"7438","RAB5CP2",""
"7439","CHRNA9","Q9UGM1"
"7440","ARRDC3","Q96B67"
"7441","INTS4P2",""
"7442","DNM1P32",""
"7443","CPEB1","A0A087WVR7"
"7444","CPEB1","H3BNX1"
"7445","CPEB1","A0A087X171"
"7446","CPEB1","A0A024R214"
"7447","CPEB1","H3BPD6"
"7448","CPEB1","A0A0J9YX15"
"7449","CPEB1","A0A087WXG7"
"7450","CPEB1","A0A0J9YXP0"
"7451","CPEB1","A0A087WUQ9"
"7452","EDC3","Q96F86"
"7453","EDC3","H3BMB8"
"7454","EDC3","H3BPW9"
"7455","EDC3","H3BTD6"
"7456","EDC3","H3BQ37"
"7457","EDC3","H3BU87"
"7458","EDC3","H3BQP5"
"7459","EDC3","H3BNJ7"
"7460","EDC3","H3BQA1"
"7461","EDC3","H3BTF8"
"7462","EDC3","H3BSQ0"
"7463","EDC3","H3BTH0"
"7464","ERLIN1","O75477"
"7465","ERLIN1","B0QZ43"
"7466","DEFB106B","Q8N104"
"7467","NDRG3","Q9UGV2"
"7468","NDRG3","Q5TH30"
"7469","NDRG3","F8WBF9"
"7470","NDRG3","Q5TH29"
"7471","DEFB105B","Q8NG35"
"7472","DEFB105B","A0A0K0K1I4"
"7473","SLC6A7","Q99884"
"7474","SLC6A7","E5RJL1"
"7475","DEFB107B","Q8IZN7"
"7476","GBF1","Q92538"
"7477","DROSHA","Q9NRR4"
"7478","DROSHA","H0YB67"
"7479","DROSHA","E5RHD1"
"7480","GABRA6","Q16445"
"7481","GABRA6","H0YBS7"
"7482","GABRA6","E7EV53"
"7483","GABRA6","H0YAS3"
"7484","MAST4-IT1",""
"7485","TRAF6","Q9Y4K3"
"7486","POC5","Q8NA72"
"7487","POC5","D6REA5"
"7488","POC5","D6RDG4"
"7489","POC5","D6RIH2"
"7490","POC5","D6RJ06"
"7491","POC5","D6RBC1"
"7492","PIM2","Q9P1W9"
"7493","PIM2","A0A024QYW7"
"7494","PIM2","C9J8V9"
"7495","LINC00638",""
"7496","TENM2","Q9NT68"
"7497","TENM2","G3V106"
"7498","TENM2","F8VNQ3"
"7499","RPS26P49",""
"7500","ENOX1-AS1",""
"7501","ENOX1","Q8TC92"
"7502","ENOX1","A0A024RDT8"
"7503","TVP23B","J3QL63"
"7504","TVP23B","Q9NYZ1"
"7505","TVP23B","E5RIS5"
"7506","TVP23B","J3KS67"
"7507","TVP23B","I3L376"
"7508","TVP23B","K7ENL4"
"7509","RPL37P1",""
"7510","FER1L4",""
"7511","CPA4","Q9UI42"
"7512","CPA4","A4D1M3"
"7513","CPA4","B7Z5J4"
"7514","CPA4","C9J6N7"
"7515","CPA4","C9J7D6"
"7516","CPA4","C9J3P4"
"7517","PRIMA1","A0A024R6J9"
"7518","PRIMA1","Q86XR5"
"7519","GINS1","Q14691"
"7520","C5orf58","A0A1B0GVU6"
"7521","C5orf58","A0A2R8Y5L7"
"7522","PRDM10","E9PLV1"
"7523","PRDM10","E9PRS0"
"7524","PRDM10","E9PS52"
"7525","PRDM10","E9PIB4"
"7526","DPYS","Q14117"
"7527","DPYS","E5RG28"
"7528","NANOGP8","Q6NSW7"
"7529","NANOGP8","A0A0D9SG05"
"7530","ENOX1-AS2",""
"7531","RPL36P19",""
"7532","TRIM40","A0A0G2JIV5"
"7533","TRIM40","Q6P9F5"
"7534","TRIM40","A0A0G2JMU7"
"7535","TRIM40","A0A0G2JK97"
"7536","TRIM40","A0A140T9D5"
"7537","CLK3","P49761"
"7538","CLK3","H3BRK0"
"7539","CLK3","H3BQR7"
"7540","CLK3","H3BVF8"
"7541","CLK3","H3BUL5"
"7542","CLK3","H3BRT8"
"7543","CLK3","H3BQG1"
"7544","CLK3","H3BNQ5"
"7545","CLK3","H3BTW9"
"7546","CLK3","H3BRE4"
"7547","AGAP10P",""
"7548","LINC00297",""
"7549","FAM200A","Q8TCP9"
"7550","FAM200A","J3QT35"
"7551","LINC00572",""
"7552","TMEM225B","P0DP42"
"7553","ZNF426-DT",""
"7554","LCP2","Q13094"
"7555","LCP2","A0A0D9SGG1"
"7556","LCP2","E7ESF6"
"7557","LCP2","E5RKA2"
"7558","LINC00544",""
"7559","NINL","Q9Y2I6"
"7560","PRELID1P4",""
"7561","CCT4P2",""
"7562","DCSTAMP","Q9H295"
"7563","LINC00365",""
"7564","EPHB6","A0A0G2JNH7"
"7565","EPHB6","F8WCM8"
"7566","EPHB6","A0A087WYP8"
"7567","EPHB6","A0A087WTE3"
"7568","EPHB6","A0A087WZL4"
"7569","EPHB6","A0A0G2JNC5"
"7570","EPHB6","A0A0J9YXG1"
"7571","EPHB6","J3KQU5"
"7572","LINC00385",""
"7573","RAG1","P15918"
"7574","LINC00384",""
"7575","MORF4L1P5",""
"7576","CSF2RA","P15509"
"7577","CSF2RA","J3JS74"
"7578","CSF2RA","F2Z3C9"
"7579","CSF2RA","V9GYE9"
"7580","RAG2","P55895"
"7581","RAG2","E9PQB9"
"7582","RAG2","E9PPU5"
"7583","MYH11","P35749"
"7584","MYH11","A0A024QZJ4"
"7585","MYH11","A0A494C024"
"7586","MYH11","A0A024QZJ6"
"7587","STON2","A0A3B3IU55"
"7588","STON2","G3V322"
"7589","ZC3H12B","Q5HYM0"
"7590","UPK3B","Q9BT76"
"7591","UPK3B","A0A0J9YVS6"
"7592","DBI","P07108"
"7593","DBI","B8ZWD1"
"7594","DBI","A0A024RAF2"
"7595","DBI","A0A0A0MTI5"
"7596","DPH6","Q7L8W6"
"7597","DPH6","H0YND7"
"7598","DPH6","H0YNH5"
"7599","PRR23D1","E9PI22"
"7600","C11orf74","Q86VG3"
"7601","C11orf74","B4DYW4"
"7602","C11orf74","E9PPH4"
"7603","C11orf74","E9PJ48"
"7604","TLE1P1",""
"7605","IFNLR1","Q8IU57"
"7606","IFNLR1","Q5VTX9"
"7607","FAM90A6P",""
"7608","","A6NKC0"
"7609","AVPI1","Q5T686"
"7610","CYP7A1","P22680"
"7611","IFT52","Q9Y366"
"7612","DYNLL1P2",""
"7613","SPDYE16","A6NNV3"
"7614","SPDYE16","A0A0J9YWM7"
"7615","SPDYE16","A0A0J9YVZ0"
"7616","SPDYE16","A0A0J9YW45"
"7617","SPDYE16","A0A0J9YYF2"
"7618","SPDYE16","A0A0J9YYB4"
"7619","ZKSCAN3","Q9BRR0"
"7620","FAM90A21P",""
"7621","","A8MWA6"
"7622","LINC01659",""
"7623","CAPG","P40121"
"7624","CAPG","E7ENU9"
"7625","CAPG","B8ZZL6"
"7626","CAPG","V9HW69"
"7627","CAPG","H7C0X8"
"7628","MARVELD1","Q9BSK0"
"7629","","A8MXZ1"
"7630","ARHGAP15","Q53QZ3"
"7631","ARHGAP15","B8ZZK0"
"7632","DPH6-DT",""
"7633","PRKCZ-AS1",""
"7634","HNRNPA1P45",""
"7635","ANP32AP1",""
"7636","FAAP20","Q6NZ36"
"7637","FAAP20","F6S8H2"
"7638","NUTF2P6",""
"7639","RBM17P4",""
"7640","ZSCAN31","Q96LW9"
"7641","ZSCAN31","A0A024RCL4"
"7642","ZSCAN31","C9JUE1"
"7643","ZSCAN31","C9IYT1"
"7644","ZSCAN31","C9JIC2"
"7645","ZSCAN31","C9JH14"
"7646","ZSCAN31","C9JPM5"
"7647","ZSCAN31","C9J423"
"7648","ZSCAN31","C9J6S7"
"7649","ZSCAN31","C9JBH3"
"7650","ZSCAN31","C9JHB1"
"7651","ZSCAN31","C9JAI0"
"7652","OR7E157P",""
"7653","VMAC","Q2NL98"
"7654","TERT","O14746"
"7655","ANKDD1B","A6NHY2"
"7656","IL7R","P16871"
"7657","IL7R","B8YG18"
"7658","IL7R","H0YA41"
"7659","IL7R","D6RCR9"
"7660","IL7R","D6RGV2"
"7661","IL7R","D6RG28"
"7662","IL7R","D6RDM4"
"7663","FGF19","O95750"
"7664","CAPS","Q13938"
"7665","CAPS","A0A384NYV7"
"7666","CAPS","K7ES72"
"7667","INTS9-AS1",""
"7668","OR7E154P",""
"7669","LRGUK","Q96M69"
"7670","LRGUK","A0A2R8YEJ5"
"7671","KATNAL1","Q9BW62"
"7672","KATNAL1","Q5T558"
"7673","KATNAL1","A0A024RDP8"
"7674","KATNAL1","A2A3H2"
"7675","WASHC2C","Q9Y4E1"
"7676","WASHC2C","J3KP36"
"7677","WASHC2C","A0A0A0MR88"
"7678","WASHC2C","A0A0A0MT65"
"7679","WASHC2C","A0A096LPC5"
"7680","RANBP3","Q9H6Z4"
"7681","RANBP3","B7Z7F3"
"7682","RANBP3","K7EID7"
"7683","RANBP3","K7ENB9"
"7684","RANBP3","K7EN31"
"7685","RANBP3","K7ESQ0"
"7686","RANBP3","K7EMT3"
"7687","RANBP3","K7EPW1"
"7688","RANBP3","K7EJ17"
"7689","RANBP3","K7EIJ4"
"7690","RANBP3","K7ERD4"
"7691","RANBP3","K7EQB8"
"7692","RANBP3","K7ENJ2"
"7693","RANBP3","K7EMH9"
"7694","MTND6P11",""
"7695","MTND4LP12",""
"7696","MTCYBP11",""
"7697","SRL","I3L4D6"
"7698","MTCO2P5",""
"7699","MTND5P24",""
"7700","MTCO3P5",""
"7701","MTND4P22",""
"7702","CPEB1-AS1",""
"7703","TEX45","Q8NA69"
"7704","TEX45","M0QY34"
"7705","TEX45","M0R096"
"7706","TEX45","M0R0L7"
"7707","TEX45","M0QYK1"
"7708","","P0C7W9"
"7709","CEP164","Q9UPV0"
"7710","CEP164","E9PLS8"
"7711","CEP164","E9PR73"
"7712","CEP164","E9PIM2"
"7713","CEP164","E9PI05"
"7714","ZNF121","P58317"
"7715","ZNF121","K7EQI1"
"7716","DNM1P38",""
"7717","FGF4","P08620"
"7718","MTND3P9",""
"7719","LINC02800",""
"7720","PRR18","Q8N4B5"
"7721","PRR18","E9PL31"
"7722","SELENOKP3",""
"7723","TRIM10","Q9UDY6"
"7724","","A6NE21"
"7725","AP3B2","Q13367"
"7726","AP3B2","F5GYB0"
"7727","AP3B2","A0A2R8Y2A8"
"7728","AP3B2","F5GWU4"
"7729","FGF3","P11487"
"7730","SHPRH","Q149N8"
"7731","SHPRH","A0A0D9SFM0"
"7732","SHPRH","H7C2W2"
"7733","SHPRH","K4DI94"
"7734","SHPRH","Q5JT88"
"7735","HLA-Z",""
"7736","PRDX2P1",""
"7737","METTL16","Q86W50"
"7738","METTL16","I3L362"
"7739","METTL16","I3L4V1"
"7740","METTL16","I3L3W3"
"7741","IQSEC1","Q6DN90"
"7742","IQSEC1","A0A0C4DGT3"
"7743","IQSEC1","A0A087WWK8"
"7744","IQSEC1","A0A3B3IRZ4"
"7745","IQSEC1","A0A2R8Y695"
"7746","IQSEC1","A0A3B3IU98"
"7747","IQSEC1","A0A2R8Y7T6"
"7748","","A6NEW6"
"7749","ZFP64P1",""
"7750","DPY19L1P1",""
"7751","PEX11G","Q96HA9"
"7752","AVL9","Q8NBF6"
"7753","AVL9","A0A024RA36"
"7754","AVL9","H7C0I1"
"7755","AVL9","B8ZZW5"
"7756","AVL9","A0A1W2PRP5"
"7757","NFX1","Q12986"
"7758","","A6NJQ4"
"7759","SPTY2D1OS","A0A0U1RRN3"
"7760","SPTY2D1OS","A0A0U1RQZ7"
"7761","SPTY2D1OS","A0A0U1RR47"
"7762","SPTY2D1OS","A0A0U1RQQ8"
"7763","ZSCAN32","Q9NX65"
"7764","ZSCAN32","B4DR24"
"7765","ZSCAN32","I3L2L7"
"7766","ZSCAN32","I3L1S7"
"7767","ZSCAN32","I3L3Y8"
"7768","ZSCAN32","I3L4W6"
"7769","ZSCAN32","I3L2V3"
"7770","ZSCAN32","I3L1K0"
"7771","RPS18P1",""
"7772","LILRP1",""
"7773","SPTY2D1","Q68D10"
"7774","FAM230I",""
"7775","DICER1-AS1",""
"7776","ZNF358","Q9NW07"
"7777","ZNF358","M0R2S5"
"7778","H19",""
"7779","BRK1","Q8WUW1"
"7780","HDDC3","Q8N4P3"
"7781","HDDC3","H0YKT9"
"7782","HDDC3","H0YNP9"
"7783","ZFYVE27","Q5T4F4"
"7784","ZFYVE16","Q7Z3T8"
"7785","ZFYVE16","H0YAB1"
"7786","ZFYVE16","D6RC80"
"7787","HRAS","P01112"
"7788","HRAS","X5D945"
"7789","ARX","Q96QS3"
"7790","STPG1","Q5TH74"
"7791","STPG1","Q5TH77"
"7792","PDE6B","P35913"
"7793","PDE6B","C9J7V6"
"7794","PDE6B","C9J628"
"7795","PDE6B","H7C4P9"
"7796","RAB11B-AS1",""
"7797","ANGPTL4","Q9BY76"
"7798","ANGPTL4","M0R3A2"
"7799","ANGPTL4","M0R369"
"7800","ANGPTL4","M0R0N8"
"7801","ANGPTL4","M0QZ51"
"7802","LINC00997",""
"7803","ZNRF2P1",""
"7804","NANP","Q8TBE9"
"7805","ZNF597","Q96LX8"
"7806","BIVM","Q86UB2"
"7807","BIVM","A0A494C1A7"
"7808","BIVM","A0A494C1S8"
"7809","BIVM","A0A494C000"
"7810","BIVM","A0A494BZX4"
"7811","BIVM","A0A494C0F9"
"7812","BIVM","A0A494C0L8"
"7813","BIVM","A0A494C0D0"
"7814","IGF2BP3","O00425"
"7815","IGF2BP3","F8WD15"
"7816","RBM17P1",""
"7817","RNF217","Q8TC41"
"7818","RNF217","E5RFY6"
"7819","RNF217","H0YKH8"
"7820","CNTNAP3","Q9BZ76"
"7821","CNTNAP3","A6NC89"
"7822","CNTNAP3","F2Z2X6"
"7823","CNTNAP3","B1AMA2"
"7824","CNTNAP3","B1AM99"
"7825","NLRC3","Q7RTR2"
"7826","NLRC3","C3VPR7"
"7827","NLRC3","H3BLT9"
"7828","GTPBP4","Q9BZE4"
"7829","GTPBP4","D2CFK9"
"7830","GTPBP4","Q5T3R7"
"7831","ZNFX1","Q9P2E3"
"7832","ZNFX1","Q5JXR7"
"7833","ZNFX1","Q5JXR6"
"7834","ZNFX1","Q5JXR5"
"7835","LINC02557",""
"7836","NIPAL3","Q6P499"
"7837","NIPAL3","A6NN97"
"7838","GYG2-AS1",""
"7839","RAB11B","Q15907"
"7840","RAB11B","M0R377"
"7841","RAB11B","M0R2D0"
"7842","GYG2","O15488"
"7843","GYG2","A0A1W2PQ75"
"7844","GYG2","E5RIC9"
"7845","RNF217-AS1",""
"7846","RPS2P4",""
"7847","BACE1-AS",""
"7848","LINC00167",""
"7849","RCCD1","A6NED2"
"7850","RCCD1","A0A024RC72"
"7851","RCCD1","G3V2I3"
"7852","NKAIN2","Q5VXU1"
"7853","NKAIN2","F5GY48"
"7854","UBN2","Q6ZU65"
"7855","UBN2","C9J6Y5"
"7856","BACE1","P56817"
"7857","BACE1","A0A024R3E8"
"7858","BACE1","A0A024R3F9"
"7859","BACE1","A0A024R3D5"
"7860","BACE1","B7Z3Z4"
"7861","BACE1","E9PJG7"
"7862","BACE1","A0A024R3D7"
"7863","BACE1","H0YDX0"
"7864","BACE1","U3KPS1"
"7865","POGLUT2","Q6UW63"
"7866","PSMA6","P60900"
"7867","PSMA6","G3V3U4"
"7868","PSMA6","G3V2S7"
"7869","PSMA6","G3V295"
"7870","PSMA6","G3V4S5"
"7871","PSMA6","G3V5Z7"
"7872","PSMA6","G3V3I1"
"7873","IFITM4P",""
"7874","HNRNPA1P49",""
"7875","SFT2D1","Q8WV19"
"7876","IDI2","Q9BXS1"
"7877","ZNF174","Q15697"
"7878","ZNF174","I3L2H2"
"7879","HCG4",""
"7880","HSPE1P22",""
"7881","VHL","A0A0S2Z4K1"
"7882","VHL","P40337"
"7883","VHL","A0A024R2F2"
"7884","HLA-V",""
"7885","MTND4P15",""
"7886","MTATP6P29",""
"7887","IDI2-AS1",""
"7888","MTND3P23",""
"7889","MTCO3P29",""
"7890","MTND4LP7",""
"7891","SPTLC1","O15269"
"7892","SPTLC1","A0A2R8Y763"
"7893","SPTLC1","A0A2R8Y6A2"
"7894","SPTLC1","A0A024R277"
"7895","SPTLC1","A0A2R8Y4S0"
"7896","EIF4A1P9",""
"7897","BIVM-ERCC5","R4GMW8"
"7898","BIVM-ERCC5","A0A1W2PS85"
"7899","IDI1","Q13907"
"7900","IDI1","C9JD53"
"7901","RPL30P6",""
"7902","LINC02753",""
"7903","TBC1D3P3",""
"7904","LINC02584",""
"7905","GRHL3","Q8TE85"
"7906","GRHL3","E9PLG9"
"7907","GRHL3","E9PLT6"
"7908","PDHA2","P29803"
"7909","ECHDC1","Q9NTX5"
"7910","ECHDC1","E9PJS8"
"7911","ECHDC1","F2Z2D6"
"7912","ECHDC1","J3KP84"
"7913","ECHDC1","E9PRU6"
"7914","ECHDC1","E9PPG7"
"7915","ECHDC1","E9PLY6"
"7916","ECHDC1","E9PIU8"
"7917","PDCD11","A0A3B3IUD7"
"7918","PDCD11","Q14690"
"7919","PDCD11","S4R3Q4"
"7920","NT5M","Q9NPB1"
"7921","NT5M","Q2I378"
"7922","NT5M","J3QRN4"
"7923","NT5M","J3QLR5"
"7924","LINC02267",""
"7925","CXCR2P1",""
"7926","RUFY4","Q6ZNE9"
"7927","RUFY4","C9J235"
"7928","GOLGA8O","A6NCC3"
"7929","GOLGA8O","H3BSI0"
"7930","FAM151B","Q6UXP7"
"7931","FAM151B","D6RD51"
"7932","ERCC5","P28715"
"7933","ERCC5","R4GMW8"
"7934","ERCC5","A0A090HNM7"
"7935","ERCC5","A0A494C0S2"
"7936","ERCC5","A0A494C113"
"7937","ERCC5","F2Z2A1"
"7938","SRD5A2",""
"7939","LINC01946",""
"7940","FAM21FP",""
"7941","AK2P2",""
"7942","KRT18P52",""
"7943","FBXO30","Q8TB52"
"7944","RPL7P24",""
"7945","RPS27AP9",""
"7946","IER3","P46695"
"7947","IER3","Q5ST79"
"7948","IER3","Q5ST77"
"7949","NRXN2","Q9P2S2"
"7950","NRXN2","P58401"
"7951","NRXN2","G5E9G7"
"7952","NRXN2","H7C2R8"
"7953","NRXN2","H7BZC7"
"7954","DNMT3A","Q9Y6K1"
"7955","DNMT3A","A0A0C4DG02"
"7956","DNMT3A","F8WE91"
"7957","KCNQ2","O43526"
"7958","KCNQ2","Q53Y30"
"7959","KCNQ2","A0A0D9SFE0"
"7960","KCNQ2","A0A0G2JH35"
"7961","KCNQ2","A0A0D9SG49"
"7962","KCNQ2","A0A0G2JSD3"
"7963","KCNQ2","A0A0G2JS89"
"7964","KCNQ2","A0A0D9SEV1"
"7965","KCNQ2","A0A0D9SGD4"
"7966","KCNQ2","A0A0D9SF10"
"7967","KCNQ2","Q4VXP6"
"7968","KCNQ2","A0A1B0GW14"
"7969","PER3","P56645"
"7970","PER3","Q8TAR6"
"7971","PER3","A2I2N5"
"7972","PER3","A0A087WV69"
"7973","LY6L","H3BQJ8"
"7974","HCG20",""
"7975","MALSU1","Q96EH3"
"7976","HMX3","A6NHT5"
"7977","HMGN1P2",""
"7978","SCAF4","O95104"
"7979","ALAS1","P13196"
"7980","ALAS1","Q5JAM2"
"7981","HMX2","A2RU54"
"7982","LINC02570",""
"7983","LINC02308",""
"7984","DDR1-DT",""
"7985","BRPF1","P55201"
"7986","BRPF1","C9JHC0"
"7987","SAMD3","Q8N6K7"
"7988","SAMD3","E9PR45"
"7989","SAMD3","E9PPN0"
"7990","SAMD3","E9PRU9"
"7991","SAMD3","E9PS85"
"7992","SAMD3","E9PR28"
"7993","HLA-DRA","P01903"
"7994","HLA-DRA","Q30118"
"7995","HLA-DRA","B0UXD8"
"7996","HLA-DRA","A0A0G2JH46"
"7997","NFATC4","Q14934"
"7998","NFATC4","G3V4K1"
"7999","NFATC4","G3V5H0"
"8000","NFATC4","G3V4U6"
"8001","CCDC122","Q5T0U0"
"8002","CCDC122","A0A087WWN1"
"8003","STX10","O60499"
"8004","STX10","Q5U8S2"
"8005","STX10","X6R2W0"
"8006","STX10","K7EJ05"
"8007","STX10","F6RTM7"
"8008","STX10","K7EPP9"
"8009","STX10","K7ELY2"
"8010","STX10","K7EK75"
"8011","USP12PY",""
